title,tags
"Warhammer® 40,000: Dawn of War® - Dark Crusade",Real-Time
"Warhammer® 40,000: Dawn of War® - Dark Crusade",Action
"Warhammer® 40,000: Dawn of War® - Dark Crusade",War
"Warhammer® 40,000: Dawn of War® - Dark Crusade",Atmospheric
"Warhammer® 40,000: Dawn of War® - Dark Crusade",Tactical
"Warhammer® 40,000: Dawn of War® - Dark Crusade",Gore
"Warhammer® 40,000: Dawn of War® - Dark Crusade",Fantasy
"Warhammer® 40,000: Dawn of War® - Dark Crusade",Co-op
"Warhammer® 40,000: Dawn of War® - Dark Crusade",Adventure
Rome: Total War™ - Collection,Strategy
Rome: Total War™ - Collection,Historical
Rome: Total War™ - Collection,Rome
Rome: Total War™ - Collection,Turn-Based Strategy
Rome: Total War™ - Collection,Grand Strategy
Rome: Total War™ - Collection,RTS
Rome: Total War™ - Collection,Classic
Rome: Total War™ - Collection,Tactical
Rome: Total War™ - Collection,Multiplayer
Rome: Total War™ - Collection,Great Soundtrack
Rome: Total War™ - Collection,War
Rome: Total War™ - Collection,Singleplayer
Rome: Total War™ - Collection,Turn-Based
Rome: Total War™ - Collection,Moddable
Rome: Total War™ - Collection,Real Time Tactics
Rome: Total War™ - Collection,Action
Rome: Total War™ - Collection,Atmospheric
Rome: Total War™ - Collection,Simulation
Rome: Total War™ - Collection,4X
Rome: Total War™ - Collection,Medieval
Max Payne 2: The Fall of Max Payne,Noir
Max Payne 2: The Fall of Max Payne,Action
Max Payne 2: The Fall of Max Payne,Third-Person Shooter
Max Payne 2: The Fall of Max Payne,Classic
Max Payne 2: The Fall of Max Payne,Bullet Time
Max Payne 2: The Fall of Max Payne,Story Rich
Max Payne 2: The Fall of Max Payne,Atmospheric
Max Payne 2: The Fall of Max Payne,Shooter
Max Payne 2: The Fall of Max Payne,Third Person
Max Payne 2: The Fall of Max Payne,Singleplayer
Max Payne 2: The Fall of Max Payne,Dark
Max Payne 2: The Fall of Max Payne,Great Soundtrack
Max Payne 2: The Fall of Max Payne,Cinematic
Max Payne 2: The Fall of Max Payne,Adventure
Max Payne 2: The Fall of Max Payne,Crime
Max Payne 2: The Fall of Max Payne,Nudity
Max Payne 2: The Fall of Max Payne,Detective
Max Payne,Noir
Max Payne,Action
Max Payne,Classic
Max Payne,Third-Person Shooter
Max Payne,Story Rich
Max Payne,Bullet Time
Max Payne,Atmospheric
Max Payne,Dark
Max Payne,Third Person
Max Payne,Shooter
Max Payne,Singleplayer
Max Payne,Great Soundtrack
Max Payne,Linear
Max Payne,Detective
Max Payne,Cinematic
Max Payne,Adventure
Max Payne,Violent
Max Payne,Crime
Max Payne,Horror
Max Payne,Psychological Horror
Command &amp; Conquer: Red Alert 3,Strategy
Command &amp; Conquer: Red Alert 3,RTS
Command &amp; Conquer: Red Alert 3,Base Building
Command &amp; Conquer: Red Alert 3,Multiplayer
Command &amp; Conquer: Red Alert 3,Co-op
Command &amp; Conquer: Red Alert 3,Alternate History
Command &amp; Conquer: Red Alert 3,Sci-fi
Command &amp; Conquer: Red Alert 3,Co-op Campaign
Command &amp; Conquer: Red Alert 3,Real-Time
Command &amp; Conquer: Red Alert 3,Singleplayer
Command &amp; Conquer: Red Alert 3,Comedy
Command &amp; Conquer: Red Alert 3,Classic
Command &amp; Conquer: Red Alert 3,Action
Command &amp; Conquer: Red Alert 3,Online Co-Op
Command &amp; Conquer: Red Alert 3,Great Soundtrack
Command &amp; Conquer: Red Alert 3,FMV
Command &amp; Conquer: Red Alert 3,War
Command &amp; Conquer: Red Alert 3,Atmospheric
PuzzleQuest: Challenge of the Warlords,Puzzle
PuzzleQuest: Challenge of the Warlords,Casual
PuzzleQuest: Challenge of the Warlords,Match 3
PuzzleQuest: Challenge of the Warlords,RPG
PuzzleQuest: Challenge of the Warlords,Fantasy
PuzzleQuest: Challenge of the Warlords,2D
PuzzleQuest: Challenge of the Warlords,Strategy
PuzzleQuest: Challenge of the Warlords,Singleplayer
PuzzleQuest: Challenge of the Warlords,Anime
PuzzleQuest: Challenge of the Warlords,Indie
PuzzleQuest: Challenge of the Warlords,Touch-Friendly
Prison Tycoon 3™: Lockdown,Strategy
Prison Tycoon 3™: Lockdown,Simulation
RollerCoaster Tycoon® 3: Platinum,Simulation
RollerCoaster Tycoon® 3: Platinum,Management
RollerCoaster Tycoon® 3: Platinum,Sandbox
RollerCoaster Tycoon® 3: Platinum,Building
RollerCoaster Tycoon® 3: Platinum,Strategy
RollerCoaster Tycoon® 3: Platinum,Singleplayer
RollerCoaster Tycoon® 3: Platinum,Economy
RollerCoaster Tycoon® 3: Platinum,Classic
RollerCoaster Tycoon® 3: Platinum,Real-Time with Pause
RollerCoaster Tycoon® 3: Platinum,Funny
RollerCoaster Tycoon® 3: Platinum,Family Friendly
RollerCoaster Tycoon® 3: Platinum,Moddable
RollerCoaster Tycoon® 3: Platinum,Multiplayer
RollerCoaster Tycoon® 3: Platinum,Great Soundtrack
RollerCoaster Tycoon® 3: Platinum,Comedy
RollerCoaster Tycoon® 3: Platinum,Casual
Far Cry®,FPS
Far Cry®,Action
Far Cry®,Classic
Far Cry®,Shooter
Far Cry®,Open World
Far Cry®,Stealth
Far Cry®,First-Person
Far Cry®,Singleplayer
Far Cry®,Difficult
Far Cry®,Multiplayer
Far Cry®,Adventure
Far Cry®,Atmospheric
Far Cry®,Story Rich
Far Cry®,Sci-fi
Far Cry®,Horror
Far Cry®,Sandbox
Far Cry®,Great Soundtrack
Far Cry®,Survival
Unreal Tournament: Game of the Year Edition,Classic
Unreal Tournament: Game of the Year Edition,FPS
Unreal Tournament: Game of the Year Edition,Action
Unreal Tournament: Game of the Year Edition,Arena Shooter
Unreal Tournament: Game of the Year Edition,Fast-Paced
Unreal Tournament: Game of the Year Edition,Multiplayer
Unreal Tournament: Game of the Year Edition,Great Soundtrack
Unreal Tournament: Game of the Year Edition,Shooter
Unreal Tournament: Game of the Year Edition,Competitive
Unreal Tournament: Game of the Year Edition,Sci-fi
Unreal Tournament: Game of the Year Edition,First-Person
Unreal Tournament: Game of the Year Edition,Moddable
Unreal Tournament: Game of the Year Edition,Singleplayer
Unreal Tournament: Game of the Year Edition,Gore
Unreal Tournament: Game of the Year Edition,Co-op
Unreal Tournament: Game of the Year Edition,1990's
Unreal Tournament: Game of the Year Edition,Cyberpunk
Unreal Tournament: Game of the Year Edition,Atmospheric
Petz® Horsez® 2,Simulation
Petz® Horsez® 2,Horses
Petz® Horsez® 2,Family Friendly
Petz® Horsez® 2,Psychological Horror
IL-2 Sturmovik: 1946,Simulation
IL-2 Sturmovik: 1946,Flight
IL-2 Sturmovik: 1946,World War II
IL-2 Sturmovik: 1946,Military
IL-2 Sturmovik: 1946,Historical
IL-2 Sturmovik: 1946,TrackIR
IL-2 Sturmovik: 1946,Realistic
IL-2 Sturmovik: 1946,Multiplayer
IL-2 Sturmovik: 1946,Action
IL-2 Sturmovik: 1946,Classic
IL-2 Sturmovik: 1946,Moddable
X-COM: Apocalypse,Strategy
X-COM: Apocalypse,Sci-fi
X-COM: Apocalypse,Tactical
X-COM: Apocalypse,Turn-Based
X-COM: Apocalypse,Aliens
X-COM: Apocalypse,Real-Time with Pause
X-COM: Apocalypse,Classic
X-COM: Apocalypse,Turn-Based Strategy
X-COM: Apocalypse,Isometric
X-COM: Apocalypse,Singleplayer
X-COM: Apocalypse,Cyberpunk
X-COM: Apocalypse,Post-apocalyptic
X-COM: UFO Defense,Strategy
X-COM: UFO Defense,Classic
X-COM: UFO Defense,Turn-Based Strategy
X-COM: UFO Defense,Sci-fi
X-COM: UFO Defense,Turn-Based
X-COM: UFO Defense,Tactical
X-COM: UFO Defense,Aliens
X-COM: UFO Defense,Singleplayer
X-COM: UFO Defense,Difficult
X-COM: UFO Defense,Turn-Based Tactics
X-COM: UFO Defense,Isometric
X-COM: UFO Defense,Base Building
X-COM: UFO Defense,Simulation
X-COM: UFO Defense,Atmospheric
X-COM: UFO Defense,1990's
X-COM: UFO Defense,Action
X-COM: UFO Defense,Retro
X-COM: UFO Defense,Adventure
X-COM: UFO Defense,Management
X-COM: UFO Defense,Space
S.T.A.L.K.E.R.: Clear Sky,Open World
S.T.A.L.K.E.R.: Clear Sky,Atmospheric
S.T.A.L.K.E.R.: Clear Sky,Post-apocalyptic
S.T.A.L.K.E.R.: Clear Sky,FPS
S.T.A.L.K.E.R.: Clear Sky,Survival
S.T.A.L.K.E.R.: Clear Sky,Action
S.T.A.L.K.E.R.: Clear Sky,RPG
S.T.A.L.K.E.R.: Clear Sky,First-Person
S.T.A.L.K.E.R.: Clear Sky,Shooter
S.T.A.L.K.E.R.: Clear Sky,Singleplayer
S.T.A.L.K.E.R.: Clear Sky,Survival Horror
S.T.A.L.K.E.R.: Clear Sky,Adventure
S.T.A.L.K.E.R.: Clear Sky,Moddable
S.T.A.L.K.E.R.: Clear Sky,Sci-fi
S.T.A.L.K.E.R.: Clear Sky,Horror
S.T.A.L.K.E.R.: Clear Sky,Classic
S.T.A.L.K.E.R.: Clear Sky,Multiplayer
S.T.A.L.K.E.R.: Clear Sky,Zombies
S.T.A.L.K.E.R.: Clear Sky,Inventory Management
S.T.A.L.K.E.R.: Clear Sky,Sandbox
Crysis,FPS
Crysis,Action
Crysis,Sci-fi
Crysis,Singleplayer
Crysis,Stealth
Crysis,Shooter
Crysis,Aliens
Crysis,Open World
Crysis,First-Person
Crysis,Benchmark
Crysis,Multiplayer
Crysis,Futuristic
Crysis,Adventure
Crysis,Atmospheric
Crysis,Story Rich
Crysis,Classic
Crysis,Sandbox
Crysis,Great Soundtrack
Crysis,Destruction
Crysis,Moddable
The Witcher: Enhanced Edition Director's Cut,RPG
The Witcher: Enhanced Edition Director's Cut,Fantasy
The Witcher: Enhanced Edition Director's Cut,Story Rich
The Witcher: Enhanced Edition Director's Cut,Mature
The Witcher: Enhanced Edition Director's Cut,Third Person
The Witcher: Enhanced Edition Director's Cut,Singleplayer
The Witcher: Enhanced Edition Director's Cut,Choices Matter
The Witcher: Enhanced Edition Director's Cut,Action
The Witcher: Enhanced Edition Director's Cut,Nudity
The Witcher: Enhanced Edition Director's Cut,Adventure
The Witcher: Enhanced Edition Director's Cut,Dark Fantasy
The Witcher: Enhanced Edition Director's Cut,Based On A Novel
The Witcher: Enhanced Edition Director's Cut,Atmospheric
The Witcher: Enhanced Edition Director's Cut,Great Soundtrack
The Witcher: Enhanced Edition Director's Cut,Open World
The Witcher: Enhanced Edition Director's Cut,Multiple Endings
The Witcher: Enhanced Edition Director's Cut,Medieval
The Witcher: Enhanced Edition Director's Cut,Action RPG
The Witcher: Enhanced Edition Director's Cut,Magic
The Witcher: Enhanced Edition Director's Cut,Classic
STCC - The Game 1 - Expansion Pack for RACE 07,Racing
STCC - The Game 1 - Expansion Pack for RACE 07,Simulation
Sid Meier's Civilization IV: Colonization,Strategy
Sid Meier's Civilization IV: Colonization,Turn-Based
Sid Meier's Civilization IV: Colonization,Turn-Based Strategy
Sid Meier's Civilization IV: Colonization,4X
Sid Meier's Civilization IV: Colonization,Historical
Sid Meier's Civilization IV: Colonization,Singleplayer
Sid Meier's Civilization IV: Colonization,Multiplayer
Sid Meier's Civilization IV: Colonization,Moddable
The Settlers®: Rise Of An Empire Gold Edition,Strategy
The Settlers®: Rise Of An Empire Gold Edition,City Builder
The Settlers®: Rise Of An Empire Gold Edition,Medieval
The Settlers®: Rise Of An Empire Gold Edition,RTS
The Settlers®: Rise Of An Empire Gold Edition,Singleplayer
The Settlers®: Rise Of An Empire Gold Edition,Multiplayer
Peggle™ Nights,Casual
Peggle™ Nights,Puzzle
Peggle™ Nights,Singleplayer
Peggle™ Nights,2D
X3: Terran Conflict,Space
X3: Terran Conflict,Simulation
X3: Terran Conflict,Sci-fi
X3: Terran Conflict,Sandbox
X3: Terran Conflict,Strategy
X3: Terran Conflict,Space Sim
X3: Terran Conflict,Open World
X3: Terran Conflict,Trading
X3: Terran Conflict,Singleplayer
X3: Terran Conflict,Economy
X3: Terran Conflict,Action
X3: Terran Conflict,Capitalism
X3: Terran Conflict,Great Soundtrack
X3: Terran Conflict,Moddable
X3: Terran Conflict,4X
X3: Terran Conflict,Flight
X3: Terran Conflict,Atmospheric
X3: Terran Conflict,Multiplayer
Bully: Scholarship Edition,Open World
Bully: Scholarship Edition,Action
Bully: Scholarship Edition,Adventure
Bully: Scholarship Edition,Third Person
Bully: Scholarship Edition,Comedy
Bully: Scholarship Edition,Singleplayer
Bully: Scholarship Edition,Great Soundtrack
Bully: Scholarship Edition,Funny
Bully: Scholarship Edition,Classic
Bully: Scholarship Edition,Sandbox
Bully: Scholarship Edition,Dark Humor
Bully: Scholarship Edition,Satire
Bully: Scholarship Edition,Story Rich
Bully: Scholarship Edition,Atmospheric
Bully: Scholarship Edition,Exploration
Bully: Scholarship Edition,Simulation
Bully: Scholarship Edition,Controller
Bully: Scholarship Edition,Mature
Bully: Scholarship Edition,Multiplayer
Bully: Scholarship Edition,First-Person
Far Cry® 2: Fortune's Edition,Open World
Far Cry® 2: Fortune's Edition,FPS
Far Cry® 2: Fortune's Edition,Action
Far Cry® 2: Fortune's Edition,Shooter
Far Cry® 2: Fortune's Edition,Singleplayer
Far Cry® 2: Fortune's Edition,First-Person
Far Cry® 2: Fortune's Edition,Multiplayer
Far Cry® 2: Fortune's Edition,Adventure
Far Cry® 2: Fortune's Edition,Sandbox
Far Cry® 2: Fortune's Edition,Stealth
Far Cry® 2: Fortune's Edition,Atmospheric
Far Cry® 2: Fortune's Edition,Survival
Far Cry® 2: Fortune's Edition,Level Editor
Far Cry® 2: Fortune's Edition,Realistic
Far Cry® 2: Fortune's Edition,Exploration
Far Cry® 2: Fortune's Edition,Story Rich
Far Cry® 2: Fortune's Edition,Great Soundtrack
Far Cry® 2: Fortune's Edition,Controller
Far Cry® 2: Fortune's Edition,Co-op
Far Cry® 2: Fortune's Edition,Strategy
Saints Row 2,Open World
Saints Row 2,Action
Saints Row 2,Sandbox
Saints Row 2,Character Customization
Saints Row 2,Third-Person Shooter
Saints Row 2,Comedy
Saints Row 2,Co-op
Saints Row 2,Third Person
Saints Row 2,Singleplayer
Saints Row 2,Crime
Saints Row 2,Online Co-Op
Saints Row 2,Multiplayer
Saints Row 2,Co-op Campaign
Saints Row 2,Funny
Saints Row 2,Shooter
Saints Row 2,Replay Value
Saints Row 2,Female Protagonist
Saints Row 2,Great Soundtrack
Saints Row 2,Moddable
Saints Row 2,Adventure
Dead Space,Horror
Dead Space,Action
Dead Space,Sci-fi
Dead Space,Space
Dead Space,Third Person
Dead Space,Survival Horror
Dead Space,Atmospheric
Dead Space,Third-Person Shooter
Dead Space,Singleplayer
Dead Space,Gore
Dead Space,Shooter
Dead Space,Aliens
Dead Space,Dark
Dead Space,Futuristic
Dead Space,Story Rich
Dead Space,Silent Protagonist
Dead Space,Survival
Dead Space,Adventure
Dead Space,Zombies
Dead Space,RPG
Mirror's Edge™,Parkour
Mirror's Edge™,First-Person
Mirror's Edge™,Action
Mirror's Edge™,Female Protagonist
Mirror's Edge™,Singleplayer
Mirror's Edge™,Great Soundtrack
Mirror's Edge™,Adventure
Mirror's Edge™,Platformer
Mirror's Edge™,Atmospheric
Mirror's Edge™,Dystopian
Mirror's Edge™,Stylized
Mirror's Edge™,Sci-fi
Mirror's Edge™,Futuristic
Mirror's Edge™,FPS
Mirror's Edge™,Time Attack
Mirror's Edge™,Cyberpunk
Mirror's Edge™,Puzzle
Mirror's Edge™,Colorful
Mirror's Edge™,Classic
Mirror's Edge™,Short
Defense Grid: The Awakening,Tower Defense
Defense Grid: The Awakening,Strategy
Defense Grid: The Awakening,Sci-fi
Defense Grid: The Awakening,Indie
Defense Grid: The Awakening,Singleplayer
Defense Grid: The Awakening,Aliens
Defense Grid: The Awakening,Futuristic
Defense Grid: The Awakening,Touch-Friendly
Defense Grid: The Awakening,Replay Value
Defense Grid: The Awakening,Adventure
Defense Grid: The Awakening,Controller
Mayhem Intergalactic,Indie
Mayhem Intergalactic,Strategy
Unreal Tournament 3 Black,FPS
Unreal Tournament 3 Black,Action
Unreal Tournament 3 Black,Multiplayer
Unreal Tournament 3 Black,Arena Shooter
Unreal Tournament 3 Black,Shooter
Unreal Tournament 3 Black,Sci-fi
Unreal Tournament 3 Black,Fast-Paced
Unreal Tournament 3 Black,First-Person
Unreal Tournament 3 Black,Competitive
Unreal Tournament 3 Black,Gore
Unreal Tournament 3 Black,Co-op
Unreal Tournament 3 Black,Great Soundtrack
Unreal Tournament 3 Black,Classic
Unreal Tournament 3 Black,Singleplayer
Unreal Tournament 3 Black,Team-Based
Unreal Tournament 3 Black,Adventure
Unreal Tournament 3 Black,Atmospheric
Unreal Tournament 3 Black,Moddable
Unreal Tournament 3 Black,Split Screen
Unreal Tournament 3 Black,Futuristic
Burnout Paradise: The Ultimate Box,Racing
Burnout Paradise: The Ultimate Box,Open World
Burnout Paradise: The Ultimate Box,Multiplayer
Burnout Paradise: The Ultimate Box,Destruction
Burnout Paradise: The Ultimate Box,Great Soundtrack
Burnout Paradise: The Ultimate Box,Driving
Burnout Paradise: The Ultimate Box,Singleplayer
Burnout Paradise: The Ultimate Box,Arcade
Burnout Paradise: The Ultimate Box,Exploration
Burnout Paradise: The Ultimate Box,Sandbox
Burnout Paradise: The Ultimate Box,Action
Burnout Paradise: The Ultimate Box,Co-op
Burnout Paradise: The Ultimate Box,Controller
Burnout Paradise: The Ultimate Box,Sports
Burnout Paradise: The Ultimate Box,Fast-Paced
Burnout Paradise: The Ultimate Box,3D Vision
Burnout Paradise: The Ultimate Box,Third Person
Burnout Paradise: The Ultimate Box,Funny
Burnout Paradise: The Ultimate Box,Online Co-Op
Burnout Paradise: The Ultimate Box,Simulation
King's Bounty: The Legend,RPG
King's Bounty: The Legend,Strategy
King's Bounty: The Legend,Turn-Based Strategy
King's Bounty: The Legend,Fantasy
King's Bounty: The Legend,Turn-Based
King's Bounty: The Legend,Adventure
King's Bounty: The Legend,Hex Grid
King's Bounty: The Legend,Tactical
King's Bounty: The Legend,Tactical RPG
King's Bounty: The Legend,Singleplayer
King's Bounty: The Legend,Atmospheric
King's Bounty: The Legend,Turn-Based Combat
King's Bounty: The Legend,Great Soundtrack
King's Bounty: The Legend,Classic
King's Bounty: The Legend,Open World
Darkest Hour: Europe '44-'45,World War II
Darkest Hour: Europe '44-'45,FPS
Darkest Hour: Europe '44-'45,Action
Darkest Hour: Europe '44-'45,Shooter
Darkest Hour: Europe '44-'45,Simulation
Darkest Hour: Europe '44-'45,Tactical
Darkest Hour: Europe '44-'45,Multiplayer
Darkest Hour: Europe '44-'45,Realistic
Darkest Hour: Europe '44-'45,War
Darkest Hour: Europe '44-'45,Mod
Darkest Hour: Europe '44-'45,Free to Play
Darkest Hour: Europe '44-'45,Historical
Prototype™,Action
Prototype™,Open World
Prototype™,Adventure
Prototype™,Third Person
Prototype™,Gore
Prototype™,Singleplayer
Prototype™,Parkour
Prototype™,Superhero
Prototype™,Zombies
Prototype™,Hack and Slash
Prototype™,Action-Adventure
Prototype™,Violent
Prototype™,Sci-fi
Prototype™,Sandbox
Prototype™,Story Rich
Prototype™,Stealth
Prototype™,RPG
Prototype™,Atmospheric
Prototype™,Controller
Prototype™,Horror
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Open World
The Elder Scrolls IV: Oblivion® Game of the Year Edition,RPG
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Fantasy
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Singleplayer
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Moddable
The Elder Scrolls IV: Oblivion® Game of the Year Edition,First-Person
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Exploration
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Adventure
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Great Soundtrack
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Action
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Magic
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Sandbox
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Character Customization
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Atmospheric
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Story Rich
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Medieval
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Action RPG
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Classic
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Third Person
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Dark Fantasy
The Elder Scrolls III: Morrowind® Game of the Year Edition,RPG
The Elder Scrolls III: Morrowind® Game of the Year Edition,Open World
The Elder Scrolls III: Morrowind® Game of the Year Edition,Fantasy
The Elder Scrolls III: Morrowind® Game of the Year Edition,Classic
The Elder Scrolls III: Morrowind® Game of the Year Edition,Great Soundtrack
The Elder Scrolls III: Morrowind® Game of the Year Edition,Moddable
The Elder Scrolls III: Morrowind® Game of the Year Edition,First-Person
The Elder Scrolls III: Morrowind® Game of the Year Edition,Adventure
The Elder Scrolls III: Morrowind® Game of the Year Edition,Singleplayer
The Elder Scrolls III: Morrowind® Game of the Year Edition,Cult Classic
The Elder Scrolls III: Morrowind® Game of the Year Edition,Atmospheric
The Elder Scrolls III: Morrowind® Game of the Year Edition,Magic
The Elder Scrolls III: Morrowind® Game of the Year Edition,Sandbox
The Elder Scrolls III: Morrowind® Game of the Year Edition,Exploration
The Elder Scrolls III: Morrowind® Game of the Year Edition,Story Rich
The Elder Scrolls III: Morrowind® Game of the Year Edition,Action RPG
The Elder Scrolls III: Morrowind® Game of the Year Edition,Character Customization
The Elder Scrolls III: Morrowind® Game of the Year Edition,Medieval
The Elder Scrolls III: Morrowind® Game of the Year Edition,Action
The Elder Scrolls III: Morrowind® Game of the Year Edition,Third Person
BRAINPIPE: A Plunge to Unhumanity,Casual
BRAINPIPE: A Plunge to Unhumanity,Indie
BRAINPIPE: A Plunge to Unhumanity,Psychedelic
Street Fighter® IV,Fighting
Street Fighter® IV,Action
Street Fighter® IV,Arcade
Street Fighter® IV,Multiplayer
Street Fighter® IV,Local Multiplayer
Street Fighter® IV,2D Fighter
Street Fighter® IV,Beat 'em up
Street Fighter® IV,2.5D
Street Fighter® IV,Competitive
Street Fighter® IV,2D
"Star Wars: Battlefront 2 (Classic, 2005)",Star Wars
"Star Wars: Battlefront 2 (Classic, 2005)",Action
"Star Wars: Battlefront 2 (Classic, 2005)",Multiplayer
"Star Wars: Battlefront 2 (Classic, 2005)",Third-Person Shooter
"Star Wars: Battlefront 2 (Classic, 2005)",Shooter
"Star Wars: Battlefront 2 (Classic, 2005)",Sci-fi
"Star Wars: Battlefront 2 (Classic, 2005)",Space
"Star Wars: Battlefront 2 (Classic, 2005)",Classic
"Star Wars: Battlefront 2 (Classic, 2005)",FPS
"Star Wars: Battlefront 2 (Classic, 2005)",First-Person
"Star Wars: Battlefront 2 (Classic, 2005)",Singleplayer
"Star Wars: Battlefront 2 (Classic, 2005)",Moddable
"Star Wars: Battlefront 2 (Classic, 2005)",Third Person
"Star Wars: Battlefront 2 (Classic, 2005)",Military
"Star Wars: Battlefront 2 (Classic, 2005)",Tactical
"Star Wars: Battlefront 2 (Classic, 2005)",Strategy
